id,name,description,branded_description,key_skills,published_at,created_at,has_test,response_letter_required,alternate_url,work_format,working_hours,work_schedule_by_days,internship,salary.from,salary.to,salary.currency,salary.gross,salary_range.from,salary_range.to,salary_range.currency,salary_range.gross,salary_range.mode.id,salary_range.mode.name,address.city,experience.id,experience.name,employer.id,employer.name,employer.alternate_url,employer.accredited_it_employer,employer.trusted,employment.id,employment.name,salary,salary_range,address
119971041,Fullstack разработчик Node.js/React,"Привет! Мы Текс-Мод - занимаемся продажей и продвижением нескольких брендов нижнего женского белья, которые уверенно входят в ТОП-100 на Wildberries. Уже более 4-х лет мы успешно реализовываем продажу нашей продукции на крупнейших российских онлайн-платформах – Wildberries, Ozon и Lamoda. Мы предлагаем тебе уникальную возможность стать частью команды, которая задает тренды и меняет рынок. Ждем твой отклик! Наши преимущества: Мы ценим твои идеи – 10 000 руб. за инновации; Крутой бонус 70% на изучение английского Skyeng; Обучайся новому – оплатим 100% затрат за курсы; Спортзал за наш счет – годовой абонемент в сетевой клуб; Современный офис в БЦ «Сириус Парк»; Бесплатный трансфер от м. Нагатинская; Вкусный кофе и снеки в неограниченном кол-ве. Чем предстоит заниматься: Backend-разработка (Node.js): Разработкой API для автоматизации внутренних бизнес-процессов компании; Интеграцией с внешними сервисами маркетплейсов для сбора и обработки данных; Созданием микросервисов для обработки данных и бизнес-логики; Оптимизацией производительности серверной части приложения; Frontend-разработка (React): Разработкой пользовательского интерфейса для визуализации аналитических данных; Созданием интерактивных дашбордов для мониторинга бизнес-показателей; Реализацией систем управления данными через веб-интерфейс; Разработкой телеграм-ботов для автоматизации рутинных задач. Идеальный кандидат - это ты, если: Имеешь опыт коммерческой разработки на Node.js от 2 лет; Есть опыт разработки на фронте на React, Redux от 2 лет; Уверенно владеешь Typescript; Знаешь фреймворки Nest.js, Express; Владеешь базами данных - PostgreSQL; ORM - Sequelize Хорошо знаешь Redis; Есть опыт работы с WebSocket, Docker. Будет преимуществом: Опыт разработки телеграм ботов на фреймворке telegram.grammy; Понимание принципов работы брокеров сообщений RabbitMQ/Kafka; Опыт работы с API Google, API Microsoft; Опыт работы с API Wildberris, Ozon. Жми ""откликнуться"" прямо сейчас!",,"[{'name': 'Node.js'}, {'name': 'React'}, {'name': 'Redux'}, {'name': 'TypeScript'}, {'name': 'PostgreSQL'}, {'name': 'Redis'}, {'name': 'Docker'}, {'name': 'RabbitMQ'}, {'name': 'Apache Kafka'}, {'name': 'API'}]",2025-05-13T17:14:05+0300,2025-05-13T17:14:05+0300,False,False,https://hh.ru/vacancy/119971041,"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,150000.0,200000.0,RUR,False,150000.0,200000.0,RUR,False,MONTH,За месяц,Москва,between1And3,От 1 года до 3 лет,9678069,Текс-Мод,https://hh.ru/employer/9678069,False,True,full,Полная занятость,,,
118821307,Frontend Developer,"Clevertec уже более 10 лет – надежный партнер и поставщик решений для крупного бизнеса. Мы помогаем разрабатывать цифровые продукты для ведущих банков и финтех-компаний. Участвуем в создании приложений для клиентов и сотрудников банков, лизинга, биржи. Реализовали проекты в сфере логистики и безопасности. Экспертиза и опыт позволяют нам браться за сложные и интересные кейсы. Итог – надежные приложения для сотен тысяч и даже миллионов пользователей с престижными мировыми наградами и высокими оценками экспертов Euromoney, Markswebb и The Banker (Financial Times). Развивая решения партнеров, мы растем сами: используем только актуальные технологии, расширяем стек и увеличиваем команду прямо сейчас. Мы ищем Frontend разработчика для работы в финтех-проекте. Присоединяйся! Требования: Опыт разработки от 3-х лет React 16.8+. Опыт создания веб интерфейсов с использованием хуков и функциональных компонентов. Опыт работы со стейт менеджером Redux (redux-toolkit, RTK Query, redux-saga, redux-thunk) Vue. Опыт создания веб интерфейсов с использованием SFC и Composition API. Опыт работы со стейт менеджером VueX или Pinia. Уверенное знание JavaScript и новшеств ECMASctipt 6+ Уверенные знания TypeScript Знание HTML/CSS CSS. Один из препроцессоров: LESS, SASS, SCSS Опыт использования UI библиотек (AntD, MaterialUI и т.п.) Oпыт работы с Node.JS (ExpressJS, hapi.js, NestJS) Опыт написания Unit тестов, e2e тестов Базовый опыт работы с CI/CD, Jenkins Опыт проведения CodeReview Конфигурации Nginx - базовый опыт Опыт работы с системами контроля версий - Git (github, gitlab, bitbucket) Опыт работы с REST-сервисами Знание гибких методологий Agile: Scrum, Kanban Будет плюсом: Опыт работы с websocket Опыт работы с KeyCloak Понимание структур данных, алгоритмов, архитектуры кода Опыт работы с Next.js Опыт конфигурации WebPack Контейнеризация Docker Мы предлагаем Центры компетенций – развивай свои технические навыки в компании опытных коллег Английский язык – занимайся с преподавателем и общайся с коллегами Спорт – получай компенсацию за выбранные активности Здоровье – используй 5 дополнительных оплачиваемых выходных в год для заботы о себе Формат работы: Москва – офис/удаленно/гибридно, любой другой город – удаленно Мы ищем в команду единомышленников, готовых к вызовам и амбициозным целям. Будем вместе драйвить цифровую трансформацию и работать в проектах для крупного бизнеса.",,"[{'name': 'JavaScript'}, {'name': 'Git'}, {'name': 'Node.js'}, {'name': 'HTML5'}, {'name': 'CSS3'}, {'name': 'React'}, {'name': 'VueJS'}, {'name': 'TypeScript'}, {'name': 'Webpack'}, {'name': 'Redux'}]",2025-05-13T14:48:43+0300,2025-05-13T14:48:43+0300,False,True,https://hh.ru/vacancy/118821307,[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,,,,,,,,,,,,between3And6,От 3 до 6 лет,1647148,Клевертек,https://hh.ru/employer/1647148,False,True,full,Полная занятость,,,
120259690,Frontend-разработчик,"Мы ищем опытного Frontend-разработчика в команду R&D решений. Возможна как работа из офиса (Уфа, Ижевск), так и 100% удаленка. Чем предстоит заниматьсяРазрабатывать различные инновационные R&D решения, которые пополнят линейку продуктов экосистемы Directum. Основные инструменты и технологии Frontend: React/Redux, JavaScript ES6, ES7 (Babel), WebPack, Typescript. Какие профессиональные навыки нам важны Опыт разработки на JS от 3-х лет (желательно, TypeScript, React, Redux). Опыт участия в разработке трехзвенных приложений, опыт оптимизации клиентской части. Опыт работы с системами контроля версий и баг-трекерами. Знание архитектурных паттернов для frontend-приложений. Понимание принципов оптимизации производительности веб-приложений. Приветствуется Опыт работы по Agile. Опыт работы в соответствии с Continuous Integration. Опыт разработки бекенда на любом языке. Почему к нам стоит идти Наставничество. Для новичков у нас есть обучающие программы, помогающие лучше узнать нашу систему и без стресса погрузиться в работу. Развитие. Собираем свои митапы, выступаем на крупных конференциях. Выделяем рабочее время на внутреннее обучение. Гибкий график и нет переработок. Мы уважаем личное время своих сотрудников. Заработная плата обсуждается индивидуально. Возможен удаленный формат работы. Мы аккредитованная ИТ-компания, возможна бронь/отсрочка при соблюдении необходимых условий Минцифры. А еще: ДМС для всех сотрудников, если планируешь работать из офиса Уфы — специальные скидки на все услуги БЦ Территория 3000, выездные корпоративные мероприятия, вкусная чайная зона 24/7, зоны для отдыха (библиотека, кикер, гитары и пр.).",,"[{'name': 'JavaScript'}, {'name': 'React'}, {'name': 'Redux'}]",2025-05-06T08:37:31+0300,2025-05-06T08:37:31+0300,False,True,https://hh.ru/vacancy/120259690,"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'REMOTE', 'name': 'Удалённо'}, {'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,,,,,,,,,,,Уфа,between3And6,От 3 до 6 лет,2488771,Directum,https://hh.ru/employer/2488771,True,True,full,Полная занятость,,,
118712236,Junior+ / Pre-middle Fullstack Developer / Разработчик,"Привет, мы IT-компания .wrk! Уже 13 лет мы оказываем IT-услуги клиентам крупных зарубежных компаний в сфере медиа, а также стартапам в области здравоохранения, образования и электронной коммерции. Большая часть наших заказчиков из США и Канады. Мы также развиваем проекты с партнёрами в России. Сейчас мы ищем Junior+ / Pre-middle Fullstack разработчика в команду .wrk — не на конкретный проект, а ""в очередь"" (на бенч). Это значит, что ты попадёшь в штат, будешь прокачиваться под руководством наших специалистов и ждать подходящего коммерческого проекта. Как только он появится — ты сразу в деле. Что ты будешь делать:До проекта (на бенче): Прокачивать стек: Node.js, React / Vue, базы данных, Docker и т.д. Готовиться к интервью с клиентами Иногда — участвовать в оценке задач и предпроектной активности На проекте: Разрабатывать и поддерживать веб-приложения на JavaScript / TypeScript (Node.js + React или Vue) Интегрировать frontend с backend API Проектировать и оптимизировать базы данных (PostgreSQL, MySQL, MongoDB) Интегрировать сторонние сервисы (платежи, email, карты, соцсети и др.) Участвовать в архитектурных решениях (MVC, MVVM, микросервисы) Писать unit-тесты Настраивать окружение в Docker и деплой в staging / production Работать по Scrum или Kanban: участвовать в митингах, оценивать задачи, вести трекер (Jira, Trello, YouTrack) Взаимодействовать с командой: аналитиками, дизайнерами, тестировщиками Что мы ожидаем от тебя: 6 месяцев – 1 год коммерческого опыта разработчиком Уверенные знания JavaScript / TypeScript, React или Vue, Node.js (Express / NestJS) Опыт с REST API, PostgreSQL / MySQL / MongoDB Умение писать чистый, модульный код Понимание архитектурных шаблонов (MVC, микросервисы) Знакомство с Docker Базовые навыки unit-тестирования Английский язык на уровне B1-B2, готовность заниматься самостоятельно и прокачивать до уверенного B2 Проактивность, умение работать в команде, гибкость, быстрая обучаемость, ответственность Будет плюсом: базовые знания PHP, Python или Java Условия сотрудничества: Оформление по ИП (в РФ или вне России), а также в качестве самозанятого (НПД) (при необходимости, поможем и проконсультируем с оформлением) Оплата твоих услуг в ""очереди"" (до начала проекта): 20 000₽ На проекте: от 80 000₽ до 120 000₽ (в зависимости от грейда и проекта) Рост грейда и повышение оплаты — раз в полгода по результатам работы на проекте Удалёнка, либо офис в Новосибирске Гибкий график в ожидании проекта (но необходимо быть доступным с 12:00 до 21:00 по НСК и и выполнять минимально необходимый набор заданий для подготовки к проекту), на проекте — 40 ч/неделя строго Обучение английскому и материалы для технической прокачки Откликайся на вакансию и присоединяйся к нашей крутой команде!",,"[{'name': 'PHP'}, {'name': 'JavaScript'}, {'name': 'MySQL'}, {'name': 'AWS'}, {'name': 'Git'}, {'name': 'Golang'}, {'name': 'Английский язык'}]",2025-05-11T08:06:28+0300,2025-05-11T08:06:28+0300,True,False,https://hh.ru/vacancy/118712236,"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'REMOTE', 'name': 'Удалённо'}, {'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}, {'id': 'FLEXIBLE', 'name': 'Свободный'}]",False,,120000.0,RUR,False,,120000.0,RUR,False,MONTH,За месяц,,between1And3,От 1 года до 3 лет,1199641,.wrk,https://hh.ru/employer/1199641,False,True,full,Полная занятость,,,
120225410,JavaScript Full Stack Developer,"Sigma Software provides top-quality services in software development, graphic design, testing, and support. Our systems are designed to deliver value across various industries, including automotive, telecommunications, aviation, advertising, gaming, banking, real estate, healthcare, and many more. We are looking for a highly qualified Software Developer with extensive experience working on projects of varying complexity and preferably with experience in HRMS/ERP systems. This is a Full Stack role, but we are also open to considering the Back-end Software Developer who is ready to contribute to the Front-end part. Requirements At least 3,5 years of commercial experience in Full Stack development using JavaScript Proven experience with Node.js, ReactJS, and TypeScript Solid experience working with REST APIs Experience with relational databases, particularly MySQL Experience with Docker Familiarity with document-based system such as Redis General understanding of CI/CD practices Experience working with Microsoft Azure Cloud Intermediate level of English Would be a plus: Knowledge of Kubernetes Experience in process automation Understanding and modeling of business processes Familiarity with ERP systems Previous experience working within Scrum or other Agile frameworks Responsibilities Take part in the active development of an internal product Design and develop unit, integration, and automated end-to-end tests. Participate in project and team meetings, providing relevant contributions and information Report status and progress according to the project and company requirements Where applicable, contribute to build and deployment automation. Participate in estimation and planning sessions Contribute to the development of technical project documentation and user documentation",,"[{'name': 'JavaScript'}, {'name': 'Node.js'}, {'name': 'React'}, {'name': 'Azure'}, {'name': 'TypeScript'}]",2025-05-11T12:45:08+0300,2025-05-11T12:45:08+0300,False,False,https://hh.ru/vacancy/120225410,"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,,,,,,,,,,,Ташкент,between3And6,От 3 до 6 лет,11924460,Sigma Sweden Software AB,https://hh.ru/employer/11924460,False,True,full,Полная занятость,,,
120424483,Mobile Developer (React native),"Привет! Мы спортивное Digital СМИ и нас читают более, чем в 10 странах. Создаем веб сервисы в индустрии спорта и беттинга, помогаем людям ориентироваться в этой нише и возвращаем средства игрокам в случае недобросовестной сделки с Букмекером.Публикуем новости, результаты матчей, аналитику и спортивные инсайды на английском и русском языках, обозреваем букмекерские компании.Наша команда - обладатель Премий «Золотой сайт 2020», «Премия Рунета 2021». Входим в ТОП 5 - самых цитируемых спортивных СМИ.Нашему проекту Metaratings требуется усиление в лице Mobile Developer (React native) в команду Mobile Team. На данный момент в команде уже есть: Lead + 4 разработчиков (уровня middle). Обязанности: Разработка новых фич и поддержка существующего кода мобильного приложения; Написание Unit и E2E тестов; Рефакторинг и оптимизация кода; Ревью кода других разработчиков; Взаимодействие с командой по техническим вопросам. Обязательные требования: Опыт коммерческой разработки на React Native от 2-х лет; Уверенное знание TypeScript, JavaScript; Понимание архитектурных паттернов; Опыт работы с Git, CI/CD. Желательно: Желателен опыт data-driven продуктами; Личная мотивация или интерес к теме спорта/данных — это плюс. Мы предлагаем: Гибкий график и удаленная работа (вы можете работать из любой точки мира), что помогает сотрудникам совмещать работу с личной жизнью; Гибкое оформление по договору СЗ/ИП; Стабильная заработная плата (будет обсуждаться на собеседовании, зависит от вашего опыта); Быстрый профессиональный рост; Работа в команде профессионалов, которые обожают свою работу и всегда готовы поддержать вас и поделиться своим опытом. Работа в динамично развивающейся компании; Множество возможностей для развития и обучения внутри компании. Если вы готовы присоединиться к нашей команде откликайтесь, большим плюсом будет указание ссылки на примеры кода!) Мы будем рады рассмотреть вашу кандидатуру!",,"[{'name': 'JavaScript'}, {'name': 'React Native'}, {'name': 'TypeScript'}]",2025-05-12T16:15:03+0300,2025-05-12T16:15:03+0300,False,False,https://hh.ru/vacancy/120424483,"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,,,,,,,,,,,,between1And3,От 1 года до 3 лет,10332338,Metaratings,https://hh.ru/employer/10332338,False,True,full,Полная занятость,,,
107964014,Frontend-разработчик (г. Новосибирск),"True Engineering – аккредитованная российская ИТ-компания, стратегические партнеры по цифровой трансформации бизнеса S7 Airlines, Leroy Merlin, «ВСК», «Сбер» и других больших российских компаний. 18 лет мы сотрудничаем с ведущими компаниями в критических областях экономики Российской Федерации, такими как транспорт, страхование, нефте и газовая добыча и разведка, ритейл. Участвуем в развитии школы разработки и проектирования программного обеспечения на базе НГУ. Зовем приложить руку к созданию по-настоящему полезных и красивых решений. Что мы ждем от Фронтенд-разработчика: Навыки работы с React, HTML, JavaScript, CSS. Опыт командной работы над коммерческим продуктом. Будет плюсом: Опыт работы с Feature-Sliced Design, Storybook, vite и webpack. Опыт написания unit и e2e тестов. Что у нас есть: Организованные процессы работы, интересные задачи, свой UI-kit, Frontend митинги, митапы и поддержка со стороны сообщества. Мы используем: TypeScript React Webpack и Vite на новых проектах Easy-peasy, Zustand React-jss Jest, Testing-library, Vitest Storybook и еще много других библиотек. Что предстоит делать: Оценивать задачи. Верстать компоненты по макетам из Figma и делать для них логику. Тесно общаться с бэкендерами. Проводить код-ревью коллегам. True Employer: От нас сильная команда дизайна и разработки, поддержка PM, профессиональное окружение, современный технологический стек. Умные, честные, открытые коллеги. Простор для инженерной мысли и уютная рабочая среда. C&B Трудоустройство по ТК РФ Белая заработная плата ДМС со стоматологией Гибкий рабочий график Красивый офис Корпоративная библиотека Закрытая парковка True Engineering - кто мы? Аккредитованная российская ИТ-компания (с 2016 года). Проектируем и строим цифровые высокодоступные Business Critical платформы. Автоматизируем Core бизнес, создаем клиентские сервисы и сервисы для партнерских сетей. Проектируем возможности, работаем на результат, делаем на перспективу. К нам приходят с бизнес-задачей, а мы переводим ее в плоскость информационных технологий и решаем. Инженерный подход позволяет закладывать в решение возможность его развития и глубокой модернизации. Создавать новые конкурентные преимущества для бизнеса. Мы инженеры ИТ-отрасли. Смотрим в будущее, мысленно мы всегда на шаг впереди. Делаем сегодня то, что приведет нас в завтра. Осознанно и рачительно относимся к ресурсам. Ловим технологические тренды, исследуем, применяем инструменты на практике. Умеем и любим учиться, создаем технологические компетенции внутри себя, растим отраслевую бизнес-экспертизу. Создание ценности - наша главная цель. Придумать работающее решение, создать его и добиться бизнес-результата. Знать, что в нем есть кусочек тебя лично, и ты можешь увидеть его в реальных цифрах, графиках, бизнес-показателях использования информационных систем. Наши герои - это люди. Именно они творят настоящую историю о настоящих профессионалах, настоящих инженерах, настоящих нас. Ценим профессионализм, простоту, душевность и юмор. С азартом беремся за работу, играем в долгую, принимаем решения и делаем осознанный выбор. Выбор быть настоящими. Cтек технологий – Java, .Net, Python, React, Angular, Vue, iOS, Android. Наш офис находится в новосибирском Академгородке. Мы помогаем с переездом из других городов. Если ты хочешь присоединиться к настоящим инженерам, напиши нам.",,"[{'name': 'TypeScript'}, {'name': 'HTML'}, {'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'React'}]",2025-05-10T06:58:07+0300,2025-05-10T06:58:07+0300,False,False,https://hh.ru/vacancy/107964014,"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,,,,,,,,,,,,between1And3,От 1 года до 3 лет,53866,True Engineering,https://hh.ru/employer/53866,True,True,full,Полная занятость,,,
119418907,Frontend-разработчик (middle),"БКС Мир инвестиций — финансовый холдинг с 29-летней историей, предоставляющий клиентам максимально широкий спектр брокерских, инвестиционных и банковских услуг. Сегодня БКС Мир инвестиций обслуживает более 1 млн клиентов. В нем работает почти 6000 сотрудников, филиалы расположены по всей России (более 40 городов присутствия). Мы знаем об инвестициях все и успешно помогаем нашим клиентам достигать их финансовых целей. Наши заслуги ежегодно отмечаются различными профессиональными премиями. Особенно мы гордимся наградой в конкурсе Markswebb. Мы заняли 2-е место среди брокерских приложений Digital Investment Rank 2024. Это доказывает: наша команда обладает сильной ИТ-экспертизой на рынке. Придя к нам, вы попадете в современную ИТ-компанию, которая является резидентом «Сколково». БКС Финтех — ИТ-компания, входящая в холдинг БКС Мир инвестиций. В ней работают более 1300 профессионалов, реализующих актуальные решения для бизнеса. Аккредитована Минцифры России как ИТ-компания. Как мы работаем: Команда работает 2-х недельными спринтами; Команда всегда открыта к предложениям и инновациям, и у вас будет возможность повлиять на конечный продукт. Пообщаться с единомышленниками и прокачать хардскиллы можно в нашем ламповом web-коммьюнити (более 40 человек), в котором всегда можно задать вопрос, послушать интересный доклад и обсудить интересующую тему. Чем предстоит заниматься: Разработка функционала микрофронтенд-платформы и платформенных модулей; Выполнение кросс-кодревью. Наши пожелания к кандидатам: Опыт коммерческой разработки от 3х лет; Хорошее знание нативного JavaScript, TypeScript, React, NodeJS, Express, Docker опыт работы с UI-китами; Понимание event loop; Опыт работы с promise/async/await, git; Опыт настройки сборщиков и CI. Будет плюсом: Опыт работы в распределенной команде; Опыт написания собственных модулей. Мы предлагаем: Конкурентный доход; Гибридный или удаленный режим работы; Работу в аккредитованной Минцифры России ИТ-компании, резиденте «Сколково»; Работу в компании — лидере инвестиционного рынка; Современный стек технологий, амбициозные проекты; Возможность карьерного роста (сессии продвижения для результативных сотрудников); Расширенную программу ДМС с первой недели работы (стоматология, страхование жизни, страхование выезжающих за рубеж, психолог, телемедицина, возможность подключить родственников к программе ДМС по корпоративным тарифам); Скидки на фитнес-клубы (WorldClass, Х-Fit и др.), спортивные сообщества (бег, футбол, волейбол, хоккей, баскетбол). А еще у нас есть клуб любителей настольных игр!; Тренинги, программу «БКС Среда» — цикл мероприятий с внешними и внутренними спикерами по ключевым темам в экономике, бизнесе, финансах, технологиях и искусстве; Насыщенную корпоративную жизнь офлайн: Новый год, день рождения компании, тимбилдинги, совместные выезды по интересам; Мероприятия для детей сотрудников (новогодние елки, День защиты детей, подарки на 1 сентября и Новый год); Льготные условия банковского обслуживания, корпоративные скидки BestBenefits (на услуги туристических агентств, обучение, продукты питания, в ресторанах и барах, в магазинах и салонах красоты и т.д.).","БКС Мир инвестиций — финансовый холдинг с 29-летней историей, предоставляющий клиентам максимально широкий спектр брокерских, инвестиционных и банковских услуг. Сегодня БКС Мир инвестиций обслуживает более 1 млн клиентов. В нем работает почти 6000 сотрудников, филиалы расположены по всей России (более 40 городов присутствия). Мы знаем об инвестициях все и успешно помогаем нашим клиентам достигать их финансовых целей. Наши заслуги ежегодно отмечаются различными профессиональными премиями. Особенно мы гордимся наградой в конкурсе Markswebb. Мы заняли 2-е место среди брокерских приложений Digital Investment Rank 2024. Это доказывает: наша команда обладает сильной ИТ-экспертизой на рынке. Придя к нам, вы попадете в современную ИТ-компанию, которая является резидентом «Сколково». БКС Финтех — ИТ-компания, входящая в холдинг БКС Мир инвестиций. В ней работают более 1300 профессионалов, реализующих актуальные решения для бизнеса. Аккредитована Минцифры России как ИТ-компания. Как мы работаем: Команда работает 2-х недельными спринтами; Команда всегда открыта к предложениям и инновациям, и у вас будет возможность повлиять на конечный продукт. Пообщаться с единомышленниками и прокачать хардскиллы можно в нашем ламповом web-коммьюнити (более 40 человек), в котором всегда можно задать вопрос, послушать интересный доклад и обсудить интересующую тему. Чем предстоит заниматься: Разработка функционала микрофронтенд-платформы и платформенных модулей; Выполнение кросс-кодревью. Наши пожелания к кандидатам: Опыт коммерческой разработки от 3х лет; Хорошее знание нативного JavaScript, TypeScript, React, NodeJS, Express, Docker опыт работы с UI-китами; Понимание event loop; Опыт работы с promise/async/await, git; Опыт настройки сборщиков и CI. Будет плюсом: Опыт работы в распределенной команде; Опыт написания собственных модулей. Мы предлагаем: Конкурентный доход; Гибридный или удаленный режим работы; Работу в аккредитованной Минцифры России ИТ-компании, резиденте «Сколково»; Работу в компании — лидере инвестиционного рынка; Современный стек технологий, амбициозные проекты; Возможность карьерного роста (сессии продвижения для результативных сотрудников); Расширенную программу ДМС с первой недели работы (стоматология, страхование жизни, страхование выезжающих за рубеж, психолог, телемедицина, возможность подключить родственников к программе ДМС по корпоративным тарифам); Скидки на фитнес-клубы (WorldClass, Х-Fit и др.), спортивные сообщества (бег, футбол, волейбол, хоккей, баскетбол). А еще у нас есть клуб любителей настольных игр!; Тренинги, программу «БКС Среда» — цикл мероприятий с внешними и внутренними спикерами по ключевым темам в экономике, бизнесе, финансах, технологиях и искусстве; Насыщенную корпоративную жизнь офлайн: Новый год, день рождения компании, тимбилдинги, совместные выезды по интересам; Мероприятия для детей сотрудников (новогодние елки, День защиты детей, подарки на 1 сентября и Новый год); Льготные условия банковского обслуживания, корпоративные скидки BestBenefits (на услуги туристических агентств, обучение, продукты питания, в ресторанах и барах, в магазинах и салонах красоты и т.д.). Преимущества работы в БКС Масштаб корпорации Карьерный рост Комфортный старт Интересная корпоративная жизнь ООО «Компания БКС» работает под брендом БКС Мир Инвестиций","[{'name': 'React'}, {'name': 'JavaScript'}, {'name': 'TypeScript'}]",2025-05-07T13:52:30+0300,2025-05-07T13:52:30+0300,False,False,https://hh.ru/vacancy/119418907,"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,,,,,,,,,,,,between3And6,От 3 до 6 лет,1833,Компания БКС,https://hh.ru/employer/1833,False,True,full,Полная занятость,,,
120243921,Frontend-разработчик,"Присоединяйся к нашей команде и работай над инновационными решениями в сфере HoReCa! Мы занимаемся всем, что связано с ресторанным бизнесом: от управления доставкой и самовывозом до онлайн-заказов и оплаты чаевых. Это твоя возможность внести вклад в создание удобных и современных сервисов! Про команду:Стань частью активно растущего отдела разработки из 20 талантливых специалистов, работающих на бэкенде на Python. Мы ценим креативность и инициативу каждого члена команды! Про процессы:Мы работаем по методологии Scrum, проводим спринты длительностью 2-4 недели и предоставляем разработчикам реальную возможность влиять на продукт. Твои идеи и предложения будут услышаны! Технологический стек: JavaScript/TypeScript React/Next.js GitLab CI/CD Чем вам предстоит заниматься: Разработка FrontEnd для наших проектов Проведение code-review Написание документации Поддержка существующих проектов и создание нового функционала Наши ожидания от вас: Отличное знание CSS3 и HTML5 (дизайнеры предоставят макеты, ваша задача — верстка) Опыт коммерческой разработки на JavaScript и TypeScript Опыт работы с React/Next.js Знание Git и понимание GitFlow Будет плюсом: Опыт работы с CI/CD (у нас GitLab) Опыт работы с SCSS Опыт написания unit-тестов Что мы предлагаем: Участие в значимых проектах и дружелюбную атмосферу и поддержку коллег. Гибридный формат работы с гибким началом рабочего дня. Обучение на любой онлайн платформе за счет компании. ДМС после 6 месяцев работы с возможностью выбора программы. 3 дополнительных оплачиваемых выходных в год. Занятия корпоративным английским еженедельно. Подарки на день рождения, рождение ребенка, свадьбу и за стаж работы. Ежемесячные корпоративные мероприятия. Скидку 50% на обеды в ресторанах Токио Сити и Бахрома и карта на скидку 30% в ресторанах франшизы. Современный офис в пешей доступности от станций метро Чкаловская/Спортивная/Петроградская. Если ты готов к новым вызовам и хочешь стать частью нашей команды, отправляй свое резюме! Мы ждем тебя!",,[],2025-05-05T16:55:54+0300,2025-05-05T16:55:54+0300,False,False,https://hh.ru/vacancy/120243921,"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,,,,,,,,,,,Санкт-Петербург,between1And3,От 1 года до 3 лет,5879545,Фаст Софт,https://hh.ru/employer/5879545,False,True,full,Полная занятость,,,
